year,species,lc_doy,lf_doy,sd_lc_doy,sd_lf_doy
1994,BELE,272,283,5.900677273,3.109510547
1995,BELE,273,282,2.47502046,3.608065747
1996,BELE,281,289,2.793284453,1.291381033
1997,BELE,279,287,5.010906803,5.660043553
1998,BELE,276,286,7.127073666,6.745513127
1999,BELE,280,289,3.661691897,2.723743056
2000,BELE,280,288,3.766700537,6.11074109
2001,BELE,280,288,2.788476744,4.294077653
2002,BELE,285,293,10.27350029,13.67985407
2003,BELE,282,290,4.430961145,4.295677961
2004,BELE,282,289,4.134129785,5.329042233
2005,BELE,280,290,4.093319897,5.714327679
2006,BELE,274,282,2.418415434,2.11396057
2007,BELE,278,291,8.545781733,9.831732555
2008,BELE,277,288,2.593487986,2.101644021
2009,BELE,275,286,8.802726425,6.759786467
2010,BELE,276,290,3.49274681,3.248009832
2011,BELE,280,289,4.990902707,3.868081675
2012,BELE,278,287,3.112760777,3.041414145
2013,BELE,276,285,4.736329514,3.741819089
2014,BELE,278,286,1.761719628,3.393953005
2015,BELE,282,291,4.124167053,8.438486473
2016,BELE,278,293,3.802594943,0.137664976
2017,BELE,284,293,2.608082385,3.624189217
2018,BELE,282,291,5.903074712,7.682387448
2019,BELE,281,290,3.520248013,2.849636696
2020,BELE,281,293,5.479291764,9.749893695
2021,BELE,281,291,0.979501873,0.493663648
2022,BELE,279,288,1.591090137,2.63988323
1991,BEPA,278,288,2.781628517,1.223129986
1992,BEPA,275,288,2.943234517,2.997291428
1993,BEPA,276,288,2.884553781,4.827376312
1994,BEPA,274,284,3.465742705,5.419910253
1995,BEPA,272,285,5.791611517,6.446168319
1996,BEPA,281,288,33.67582478,14.95454527
1997,BEPA,281,289,2.723029498,2.695513372
1998,BEPA,270,278,11.30944079,12.58938615
1999,BEPA,282,290,8.522960601,9.387625616
2000,BEPA,277,283,2.927320071,1.044045259
2001,BEPA,285,291,2.691593723,2.459009723
2002,BEPA,286,294,2.474796214,9.559383428
2003,BEPA,279,285,2.840353312,9.799832313
2004,BEPA,279,285,1.417603008,1.400009505
2005,BEPA,274,277,4.003661342,7.316793406
2006,BEPA,263,265,3.932100321,3.116096658
2007,BEPA,284,290,1.245522703,1.25770814
2008,BEPA,277,284,18.38469146,10.95099626
2009,BEPA,272,278,0.139757148,0.360611014
2010,BEPA,274,283,7.695017293,12.7925621
2011,BEPA,270,273,6.989431274,5.697606209
2012,BEPA,275,280,2.355757597,8.133448617
